gen_z,normal
Ah yes the classic hot take move we all expected,"Yes, the classic controversial opinion move we all anticipated"
Anyone else tilted by that delulu move,"Is anyone else frustrated by that being delusional, unrealistic expectations decision"
Why is people so bare minimum lately?,Why is people so extremely bare minimum lately?
How do you just wake up and choose GOAT bestie,How do you wake up and choose to be greatest of all time I swear
Hot take: everyone is lowkey gg,"Unpopular opinion: everyone is somewhat experiencing good game, well done"
Brain: sleep. also brain: think about lmaoooo,Brain says sleep but also tells me to think about extremely funny
Idk why im being very parasocial relationship atm,I do not know why i am very one-sided emotional attachment right now
Wait is that not hmu?,"Wait, is that not considered hit me up, contact me?"
My sleep schedule is in its villain era era,"My sleep routine is in a acting selfishly, prioritizing yourself phase"
POV: you just experienced wow so brave energy,"From my perspective, that energy was sarcastically praising an obvious thing"
I'm not even gonna lie that was fam istg,"I won't lie, that genuinely showed close friends, family-like people without question"
That respawn spot is giving me the ick honestly,That respawn location is genuinely causing sudden disgust
"You cooked so hard, that was peak big move.","You did so well, that was peak an action or strategy."
Teacher: there are no wrong answers. me: W rizz lmao,Teacher says no wrong answers and I respond with excellent charisma and charm friend
Tell me why this is very shook,"Can someone explain why this feels very shocked, stunned"
Ok ttyl this is too mid to handle,"Okay talk later, this is too mediocre, average, not impressive to process"
they weree being so iykyk about this whole thing.,They were being so if you know you know about this whole thing.
Riveting content truly the noob tube is impressive,"What riveting content, the level of easy weapon used by beginners is impressive"
Thank you very much for that one-shot contribution istg,Thank you very much for that wonderful contribution of defeating with a single hit honestly
bruh that comeback was so ultra drip honestly.,genuinely that comeback was so stylish outfit or fashion sense honestly.
Sis surely this will go well being very glow up and all,Okay very surely this will end well given all the significant positive transformation involved
The enemy team is playing say less as usual bestie,"The opposing team is demonstrating understood, I get it without explanation as usual right now"
Bestie said essay cooked me and left the chat,My best friend said it plainly and ended the conversation
Surely this will go well being so L take and all,Surely this will end well given all the incorrect or bad opinion involved
y'all dude i'm literally wyd rn,best friend i am literally experiencing what are you doing right now
The audacity of this understood assignment behavior ngl,The boldness of this did exactly what was needed energy is remarkable friend
